Name,Price(in Nrs),Transmisson,Colour,Make Year,Mileage,Engine(CC),Fuel,Kilometer Run
TATA 407 Container (Tata),700000,Manual2WD,other,2013,15.0,2956,Diesel,60000
Mega XL hatti gadi (Tata),700000,Auto2WD,other,2019,15.0,889,Petrol,80000
Maruti Suzuki Alto 2004 On Sale (Maruti Suzuki),580000,Manual2WD,other,2004,15.0,800,Petrol,75000
Grand i10 magna 2014 (Hyundai),1845000,Manual2WD,other,2014,15.0,1200,Petrol,31000
2010 model red color santro zinc for sale (Hyundai),1350000,Manual4WD,red,2010,15.0,1100,Petrol,4200
"2015 model bolero 7 seater 4wd,powerstering sale (Mahindra)",1950000,Manual4WD,other,2015,15.0,2500,Diesel,65000
बैंक सुबिधा भएको सस्तो कार सङ्ग पनि सट्टा पट्टा (Mahindra),3200000,Manual2WD,silver,2019,15.0,2100,Electric,61000
Hyundai I20 Active Diesel 2015 (Hyundai),2500000,Manual2WD,other,2015,14.0,1400,Diesel,42000
Isuzu Vcross 2019 (Other Brands),5100000,Manual4WD,white,2019,15.0,2499,Diesel,51000
Like a Brand New Grand i10 sports 0 Push Bottom (Hyundai),2350000,Manual2WD,other,2017,14.0,1197,Petrol,7000
Fore Sale Grand I10 Magna (Hyundai),1850000,Manual2WD,other,2014,14.0,1200,Petrol,45000
Hundai Grend I 10 2019 model Sportz (Hyundai),2600000,Manual2WD,grey,2019,13.0,1200,Petrol,18300
Santro 2010 (Hyundai),1360000,Manual2WD,other,2010,15.0,1100,Petrol,53000
Datsun Go on sale (Datsun),1275000,Manual2WD,other,2016,16.0,1200,Petrol,48000
One Week Offer Price Fiat Avventura Dynamic 2016.. (Fiat),1550077,Manual2WD,other,2016,15.0,1368,Petrol,57000
FORD IKON FULL OPTION FRESH N SMOOTH (Ford),550000,Manual2WD,grey,2003,15.0,1299,Petrol,52000
Ford Figo (Trend) (Ford),1500000,Manual2WD,other,2016,14.0,1200,Petrol,70000
Kia sportage AWD 8air bag fully looded for sale (Kia),3250000,Manual4WD,other,2011,13.0,2000,Diesel,67000
wagonar bikrima (Maruti Suzuki),1050000,Manual2WD,other,2010,15.0,1086,Petrol,75000
santro bikrima (Hyundai),1050000,Manual2WD,white,2007,14.0,1086,Petrol,71000
ZEN 2006 (Maruti Suzuki),749000,Manual4WD,other,2006,16.0,1000,Petrol,74000
Creta SX 2019 Like new (Hyundai),4300000,Manual2WD,other,2019,14.0,1600,Petrol,24000
2010 i 10 MAGNA (Hyundai),1400000,Manual2WD,blue,2010,15.0,1200,Petrol,39888
Honda Jazz 2016 model (Honda),2350000,Manual2WD,other,2016,15.0,1200,Petrol,34200
Nissan sunny 2014 full option sedan for sale (Nissan),1599999,Manual2WD,other,2014,15.0,250,Petrol,42500
Hyundai Santro Fresh 2011 (Hyundai),1400000,Manual2WD,other,2011,14.0,1084,Petrol,57560
